Sl_No,State,District,District_Code,Crop,Season,Sowing_Period,Harvesting_Period,Sow_From_Day,Sow_From_Mon,Sow_To_Day,Sow_To_Mon,Harv_From_Day,Harv_From_Mon,Harv_To_Day,Harv_To_Mon,PDF_Page
1,Bihar,Arwal,240,Rice,Kharif,15th June - 15th Aug,15th Oct. – 30th Nov,15.0,6.0,15.0,8.0,15.0,10.0,30.0,11.0,1
2,Bihar,Arwal,240,Wheat,Rabi,15th Nov – 15th Dec,15th Mar. – 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,1
3,Bihar,Arwal,240,Barley,Rabi,15th Oct - 30th Nov,15th Mar- 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,1
4,Bihar,Arwal,240,Maize,Kharif,15th May – 15th June,1st -31st Sept,15.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,1
5,Bihar,Arwal,240,Maize,Rabi,15th Oct. – 15th Nov,1st – 30th Apr,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,1
6,Bihar,Arwal,240,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,1
7,Bihar,Arwal,240,Ragi,Kharif,15th May – 30th June,1st - 31st Oct,15.0,5.0,30.0,6.0,1.0,10.0,31.0,10.0,1
8,Bihar,Arwal,240,Arhar,Kharif,15th June – 31st July,15th Mar – 15th Apr,15.0,6.0,31.0,7.0,15.0,3.0,15.0,4.0,1
9,Bihar,Arwal,240,Urad,Kharif,15th - 31st July,1st – 15th Oct,15.0,7.0,31.0,7.0,1.0,10.0,15.0,10.0,1
10,Bihar,Arwal,240,Gram,Rabi,15th Oct -30th Nov (Normal),15th Mar. – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,1
11,Bihar,Arwal,240,Gram,,1-15 Dec (Late),,1.0,12.0,15.0,12.0,,,,,1
12,Bihar,Arwal,240,Lentil,Rabi,15th Oct. – 30th Nov,15th – 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,1
13,Bihar,Arwal,240,Peas,Rabi,15th Oct. – 30th Nov,15th Jan. – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,1
14,Bihar,Arwal,240,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,1
15,Bihar,Arwal,240,Khesari,Rabi,15th Oct – 15th Nov,15th Mar – 15th Apr,15.0,10.0,15.0,11.0,15.0,3.0,15.0,4.0,1
16,Bihar,Arwal,240,Til,Kharif,15th June - 15th July,15th – 30th Sep,15.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,1
17,Bihar,Arwal,240,Til,Summer,15th Feb -15th Mar,15th -31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,1
18,Bihar,Arwal,240,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,1
19,Bihar,Arwal,240,Linseed,Rabi,15th Oct - 30th Nov,15th - 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,1
20,Bihar,Aurangabad,235,Rice,Kharif,15th June - 15th Aug,15th Oct – 30th Nov,15.0,6.0,15.0,8.0,15.0,10.0,30.0,11.0,1
21,Bihar,Aurangabad,235,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,1
22,Bihar,Aurangabad,235,Barley,Rabi,31st Oct - 30th Nov,15th Mar - 15th Apr,31.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,1
23,Bihar,Aurangabad,235,Maize,Kharif,15th May – 15th June,1st - 31st Sept,15.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,1
24,Bihar,Aurangabad,235,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,1
25,Bihar,Aurangabad,235,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,1
26,Bihar,Aurangabad,235,Arhar,Kharif,15th June – 31st July,15th Mar – 15th Apr,15.0,6.0,31.0,7.0,15.0,3.0,15.0,4.0,1
27,Bihar,Aurangabad,235,Urad,Kharif,15th - 31st July,1st – 15th Oct,15.0,7.0,31.0,7.0,1.0,10.0,15.0,10.0,1
28,Bihar,Aurangabad,235,Gram,Rabi,15th Oct - 30th Nov (Normal),15th Mar – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,1
29,Bihar,Aurangabad,235,Gram,,1st -15th Dec (Late),,1.0,12.0,15.0,12.0,,,,,1
30,Bihar,Aurangabad,235,Lentil,Rabi,31st Oct – 30th Nov,15th – 31st Mar,31.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,1
31,Bihar,Aurangabad,235,Peas,Rabi,15th Oct – 30th Nov,15th Jan – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,1
32,Bihar,Aurangabad,235,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,1
33,Bihar,Aurangabad,235,Khesari,Rabi,15th Oct – 15th Nov,15th Mar – 15th Apr,15.0,10.0,15.0,11.0,15.0,3.0,15.0,4.0,1
34,Bihar,Aurangabad,235,Til,Kharif,15th June - 15th July,15th – 30th Sep,15.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,1
35,Bihar,Aurangabad,235,Til,Summer,15th Feb.-15th Mar,15th -31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,1
36,Bihar,Aurangabad,235,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,1
37,Bihar,Aurangabad,235,Linseed,Rabi,15th Oct.- 30th Nov,15th - 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,1
38,Bihar,Araria,209,Rice,Kharif,1st June - 15th Aug,15th Oct – 30th Nov,1.0,6.0,15.0,8.0,15.0,10.0,30.0,11.0,1
39,Bihar,Araria,209,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,1
40,Bihar,Araria,209,Barley,Rabi,15th Oct - 30th Nov,15th Mar - 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,1
41,Bihar,Araria,209,Maize,Kharif,1st May – 15th June,1st -31st Sept,1.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,1
42,Bihar,Araria,209,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,1
43,Bihar,Araria,209,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,1
44,Bihar,Araria,209,Arhar,Kharif,15th June – 31st July,15th Mar – 15th Apr,15.0,6.0,31.0,7.0,15.0,3.0,15.0,4.0,1
45,Bihar,Araria,209,Urad,Kharif,1st - 31st July,1st – 15th Oct,1.0,7.0,31.0,7.0,1.0,10.0,15.0,10.0,1
46,Bihar,Araria,209,Gram,Rabi,15th Oct.-30th Nov (Normal),15th Mar. – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,1
47,Bihar,Araria,209,Gram,,1-15 Dec (Late),,1.0,12.0,15.0,12.0,,,,,2
48,Bihar,Araria,209,Lentil,Rabi,15th Oct – 30th Nov,15th – 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,2
49,Bihar,Araria,209,Lentil,,,,,,,,,,,,2
50,Bihar,Araria,209,Peas,Rabi,15th Oct – 30th Nov,15th Jan – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,2
51,Bihar,Araria,209,Peas,,,,,,,,,,,,2
52,Bihar,Araria,209,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,2
53,Bihar,Araria,209,Khesari,Rabi,15th Oct – 15th Nov,15th Mar – 15th Apr,15.0,10.0,15.0,11.0,15.0,3.0,15.0,4.0,2
54,Bihar,Araria,209,Khesari,,,,,,,,,,,,2
55,Bihar,Araria,209,Til,Kharif,15th June - 15th July,15th – 30th Sep,15.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,2
56,Bihar,Araria,209,Til,Summer,15th Feb -15th Mar,15th -31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,2
57,Bihar,Araria,209,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,2
58,Bihar,Araria,209,Linseed,Rabi,15th Oct - 30th Nov,15th - 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,2
59,Bihar,Bhagalpur,224,Rice,Kharif,15th June - 15th Aug,15th Oct – 30th Nov,15.0,6.0,15.0,8.0,15.0,10.0,30.0,11.0,2
60,Bihar,Bhagalpur,224,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,2
61,Bihar,Bhagalpur,224,Barley,Rabi,15th Oct - 30th Nov,15th Mar - 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,2
62,Bihar,Bhagalpur,224,Maize,Kharif,15th May – 15th June,1st -31st Sep,15.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,2
63,Bihar,Bhagalpur,224,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,2
64,Bihar,Bhagalpur,224,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,2
65,Bihar,Bhagalpur,224,Arhar,Kharif,1st - 31st July,1st – 30th Apr,1.0,7.0,31.0,7.0,1.0,4.0,30.0,4.0,2
66,Bihar,Bhagalpur,224,Urad,Kharif,15th - 31st July,1st – 15th Oct,15.0,7.0,31.0,7.0,1.0,10.0,15.0,10.0,2
67,Bihar,Bhagalpur,224,Kulthi,Kharif,15th July – 15th Aug,1st – 15th Nov,15.0,7.0,15.0,8.0,1.0,11.0,15.0,11.0,2
68,Bihar,Bhagalpur,224,Gram,Rabi,15th Oct.-30th Nov (Normal),15th Mar – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,2
69,Bihar,Bhagalpur,224,Gram,,1-15 Dec (Late),,1.0,12.0,15.0,12.0,,,,,2
70,Bihar,Bhagalpur,224,Lentil,Rabi,15th Oct – 30th Nov,15th – 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,2
71,Bihar,Bhagalpur,224,Peas,Rabi,15th Oct – 30th Nov,15th Jan – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,2
72,Bihar,Bhagalpur,224,Moong,Summer,15 Mar - 15 Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,2
73,Bihar,Bhagalpur,224,Khesari,Rabi,15th Oct – 30th Nov,15th Mar – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,2
74,Bihar,Bhagalpur,224,Til,Kharif,15th June - 15th July,15th – 30th Sep,15.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,2
75,Bihar,Bhagalpur,224,Til,Summer,15th Feb -15th Mar,15th - 31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,2
76,Bihar,Bhagalpur,224,Mustard,Rabi,15th -31st Oct,15th Feb- 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,2
77,Bihar,Bhagalpur,224,Linseed,Rabi,15th Oct - 30th Nov,15th - 31st March,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,2
78,Bihar,Bhagalpur,224,Sunflower,Rabi,15th Oct – 15th Nov,15th – 28th Feb,15.0,10.0,15.0,11.0,15.0,2.0,28.0,2.0,2
79,Bihar,Bhagalpur,224,Sugarcane,Autumn,15th Oct – 30th Nov.,15th Oct – 31st Mar,15.0,10.0,30.0,11.0,15.0,10.0,31.0,3.0,2
80,Bihar,Bhagalpur,224,Sugarcane,Spring,15th Feb – 15th Mar,,15.0,2.0,15.0,3.0,,,,,2
81,Bihar,Banka,225,Rice,Kharif,1st June - 31st July,15th Oct. – 30th Nov,1.0,6.0,31.0,7.0,15.0,10.0,30.0,11.0,2
82,Bihar,Banka,225,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,2
83,Bihar,Banka,225,Barley,Rabi,31st Oct - 30th Nov,15th Mar- 15th Apr,31.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,2
84,Bihar,Banka,225,Maize,Kharif,15th May – 15th June,1st -31st Sept,15.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,2
85,Bihar,Banka,225,Maize,Rabi,15th Oct. – 15th Nov,1st – 30th April,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,2
86,Bihar,Banka,225,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,2
87,Bihar,Banka,225,Arhar,Kharif,1– 31st July,1st -30th May,1.0,7.0,31.0,7.0,1.0,5.0,30.0,5.0,2
88,Bihar,Banka,225,Urad,Kharif,15th - 31st July,1st – 15th Oct,15.0,7.0,31.0,7.0,1.0,10.0,15.0,10.0,2
89,Bihar,Banka,225,Kulthi,Kharif,31st July – 15th Aug.,1st – 15th Nov,31.0,7.0,15.0,8.0,1.0,11.0,15.0,11.0,2
90,Bihar,Banka,225,Gram,Rabi,15th Oct.-30th Nov (Normal),15th Mar – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,2
91,Bihar,Banka,225,Gram,,1-15 Dec (Late),,1.0,12.0,15.0,12.0,,,,,2
92,Bihar,Banka,225,Lentil,Rabi,30th Oct – 30th Nov,15th – 31st Mar,30.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,2
93,Bihar,Banka,225,Peas,Rabi,15th Oct – 30th Nov,15th Jan – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,3
94,Bihar,Banka,225,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,3
95,Bihar,Banka,225,Khesari,Rabi,15th Oct – 30th Nov,15th Mar – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,3
96,Bihar,Banka,225,Til,Kharif,15th June - 15th July,15th – 30th Sep,15.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,3
97,Bihar,Banka,225,Til,Summer,15th Feb -15th Mar,15th -31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,3
98,Bihar,Banka,225,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,3
99,Bihar,Banka,225,Linseed,Rabi,15th Oct - 30th Nov,15th - 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,3
100,Bihar,Banka,225,Sunflower,Rabi,15th Oct – 15th Nov,15th – 28th Feb,15.0,10.0,15.0,11.0,15.0,2.0,28.0,2.0,3
101,Bihar,Banka,225,Sugarcane,Autumn,15th Oct – 30th Nov,15th Oct – 31st Mar,15.0,10.0,30.0,11.0,15.0,10.0,31.0,3.0,3
102,Bihar,Banka,225,Sugarcane,Spring,15th Feb – 15th Mar,,15.0,2.0,15.0,3.0,,,,,3
103,Bihar,Bhojpur,231,Rice,Kharif,1st June - 31st July,15th Oct – 15th Dec,1.0,6.0,31.0,7.0,15.0,10.0,15.0,12.0,3
104,Bihar,Bhojpur,231,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,3
105,Bihar,Bhojpur,231,Barley,Rabi,15th Oct - 30th Nov,15th Mar- 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,3
106,Bihar,Bhojpur,231,Maize,Kharif,15th May – 15th June,1st - 31st Sep,15.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,3
107,Bihar,Bhojpur,231,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,3
108,Bihar,Bhojpur,231,Maize,Summer,15th Feb– 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,3
109,Bihar,Bhojpur,231,Arhar,Kharif,30th June – 31st July,1st -30th Apr,30.0,6.0,31.0,7.0,1.0,4.0,30.0,4.0,3
110,Bihar,Bhojpur,231,Urad,Kharif,1st - 31st July,1st – 15th Oct,1.0,7.0,31.0,7.0,1.0,10.0,15.0,10.0,3
111,Bihar,Bhojpur,231,Gram,Rabi,15th Oct -30th Nov (Normal),15th Mar - 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,3
112,Bihar,Bhojpur,231,Gram,,1-15 Dec (Late),,1.0,12.0,15.0,12.0,,,,,3
113,Bihar,Bhojpur,231,Lentil,Rabi,15th Oct – 30th Nov,15th – 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,3
114,Bihar,Bhojpur,231,Peas,Rabi,15th Oct – 30th Nov,15th Jan – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,3
115,Bihar,Bhojpur,231,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,3
116,Bihar,Bhojpur,231,Khesari,Rabi,15th Oct – 15th Nov,15th Mar – 15th Apr,15.0,10.0,15.0,11.0,15.0,3.0,15.0,4.0,3
117,Bihar,Bhojpur,231,Til,Kharif,1st June - 15th July,15th – 30th Sep,1.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,3
118,Bihar,Bhojpur,231,Til,Summer,15th Feb - 15th Mar,15th -31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,3
119,Bihar,Bhojpur,231,Mustard,Rabi,15th - 31st Oct,15th Feb.- 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,3
120,Bihar,Bhojpur,231,Linseed,Rabi,15th Oct - 30th Nov,15th - 31st March,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,3
121,Bihar,Bhojpur,231,Sugarcane,Autumn,15th Oct – 30th Nov,15th Oct – 31st Mar,15.0,10.0,30.0,11.0,15.0,10.0,31.0,3.0,3
122,Bihar,Bhojpur,231,Sugarcane,Spring,15th Feb – 15th Mar,,15.0,2.0,15.0,3.0,,,,,3
123,Bihar,Buxar,232,Rice,Kharif,1st June - 31st July,15th Oct. – 15th Dec,1.0,6.0,31.0,7.0,15.0,10.0,15.0,12.0,3
124,Bihar,Buxar,232,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,3
125,Bihar,Buxar,232,Barley,Rabi,15th Oct - 30th Nov,15th Mar- 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,3
126,Bihar,Buxar,232,Maize,Kharif,15th May – 15th June,1st -31st Sep,15.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,3
127,Bihar,Buxar,232,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,3
128,Bihar,Buxar,232,Maize,Summer,15th Feb– 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,3
129,Bihar,Buxar,232,Pulses:,,,,,,,,,,,,3
130,Bihar,Buxar,232,Arhar,Kharif,15th June – 31st July,1st – 30th Apr,15.0,6.0,31.0,7.0,1.0,4.0,30.0,4.0,3
131,Bihar,Buxar,232,Urad,Kharif,15th - 31st July,1st – 15th Oct,15.0,7.0,31.0,7.0,1.0,10.0,15.0,10.0,3
132,Bihar,Buxar,232,Kulthi,Kharif,15th July – 15th Aug.,1st – 15th Nov,15.0,7.0,15.0,8.0,1.0,11.0,15.0,11.0,3
133,Bihar,Buxar,232,Gram,Rabi:,15th Oct.-30th Nov (Normal),15th Mar – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,3
134,Bihar,Buxar,232,Gram,,1-15 Dec (Late),,1.0,12.0,15.0,12.0,,,,,3
135,Bihar,Buxar,232,Lentil,Rabi,15th Oct. – 30th Nov,15th – 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,3
136,Bihar,Buxar,232,Peas,Rabi,15th Oct. – 30th Nov,15th Jan – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,3
137,Bihar,Buxar,232,Moong,Summer,15th Mar - 15th April,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,3
138,Bihar,Buxar,232,Khesari,Rabi,15th Oct. – 15th Nov,15th Mar – 15th Apr,15.0,10.0,15.0,11.0,15.0,3.0,15.0,4.0,3
139,Bihar,Buxar,232,Til,Kharif,15th June - 15th July,15th – 30th Sep,15.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,4
140,Bihar,Buxar,232,Til,Summer,15th Feb.-15th Mar.,15th -31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,4
141,Bihar,Buxar,232,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,4
142,Bihar,Buxar,232,Linseed,Rabi,15th Oct- 30th Nov,15th - 31st March,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,4
143,Bihar,Buxar,232,Sunflower,Rabi,15th Oct– 15th Nov,15th – 28th Feb,15.0,10.0,15.0,11.0,15.0,2.0,28.0,2.0,4
144,Bihar,Buxar,232,Sugarcane,Autumn,15th Oct – 30th Nov,15th Oct– 31st Mar,15.0,10.0,30.0,11.0,15.0,10.0,31.0,3.0,4
145,Bihar,Buxar,232,Sugarcane,Spring,15th Feb – 15th Mar,,15.0,2.0,15.0,3.0,,,,,4
146,Bihar,Begusarai,222,Rice,Kharif,15th May - 31st July,15th Oct. – 30th Nov,15.0,5.0,31.0,7.0,15.0,10.0,30.0,11.0,4
147,Bihar,Begusarai,222,Wheat,Rabi,15th Nov – 31st Dec.,15th Mar – 30th Apr,15.0,11.0,31.0,12.0,15.0,3.0,30.0,4.0,4
148,Bihar,Begusarai,222,Maize,Kharif,15th May - 15th June,15th Aug -15th Sep,15.0,5.0,15.0,6.0,15.0,8.0,15.0,9.0,4
149,Bihar,Begusarai,222,Maize,Rabi,1st – 30th Nov,15th Mar – 15th Apr,1.0,11.0,30.0,11.0,15.0,3.0,15.0,4.0,4
150,Bihar,Begusarai,222,Maize,Summer,1st Feb – 31st Mar,1stJune – 31st July,1.0,2.0,31.0,3.0,1.0,6.0,31.0,7.0,4
151,Bihar,Begusarai,222,Ragi,Kharif,15th Apr – 15 May,15th Aug – 15th Sep,15.0,4.0,15.0,5.0,15.0,8.0,15.0,9.0,4
152,Bihar,Begusarai,222,Arhar,Kharif,15th July – 15th Sep,1st Apr – 30th Apr,15.0,7.0,15.0,9.0,1.0,4.0,30.0,4.0,4
153,Bihar,Begusarai,222,Urad,Kharif,1st July – 15th Aug,1st – 30th Oct,1.0,7.0,15.0,8.0,1.0,10.0,30.0,10.0,4
154,Bihar,Begusarai,222,Urad,Summer,15thMar - 15April,15th June – 15th July,15.0,3.0,15.0,4.0,15.0,6.0,15.0,7.0,4
155,Bihar,Begusarai,222,Kulthi,Kharif,15th July – 15th Aug,1st – 15th Nov,15.0,7.0,15.0,8.0,1.0,11.0,15.0,11.0,4
156,Bihar,Begusarai,222,Gram,Rabi,15th Oct -30th Nov,15th Mar – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,4
157,Bihar,Begusarai,222,Lentil,Rabi,15th Oct. – 15th Nov,15th – 31st Mar,15.0,10.0,15.0,11.0,15.0,3.0,31.0,3.0,4
158,Bihar,Begusarai,222,Peas,Rabi,15th Oct. – 30th Nov,15th Jan – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,4
159,Bihar,Begusarai,222,Moong,Summer,15 Mar - 15 Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,4
160,Bihar,Begusarai,222,TIL,Summer,15th Feb-15th Mar.,15th -31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,4
161,Bihar,Begusarai,222,Mustard,Rabi,15th -31st Oct.,15th Feb- 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,4
162,Bihar,Begusarai,222,Linseed,Rabi,15th Oct.- 30th Nov,15th - 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,4
163,Bihar,Begusarai,222,Sugarcane,Autumn,15th Oct. – 30th Nov,15th Oct – 31st Mar,15.0,10.0,30.0,11.0,15.0,10.0,31.0,3.0,4
164,Bihar,Begusarai,222,Sugarcane,Spring,15th Feb – 15th Mar,,15.0,2.0,15.0,3.0,,,,,4
165,Bihar,Darbhanga,215,Rice,Kharif,15th May - 31st July,15th Sep – 30th Nov,15.0,5.0,31.0,7.0,15.0,9.0,30.0,11.0,4
166,Bihar,Darbhanga,215,Wheat,Rabi,1st Nov- 1st Dec,1st Mar -1st Apr,1.0,11.0,1.0,12.0,1.0,3.0,1.0,4.0,4
167,Bihar,Darbhanga,215,Maize,Kharif,15th June - 15th July,15th Sep -15th Oct,15.0,6.0,15.0,7.0,15.0,9.0,15.0,10.0,4
168,Bihar,Darbhanga,215,Maize,Rabi,15th Oct – 30th Nov,15th Mar – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,4
169,Bihar,Darbhanga,215,Maize,Summer,1st Feb – 31st Mar,1stJune – 31st July,1.0,2.0,31.0,3.0,1.0,6.0,31.0,7.0,4
170,Bihar,Darbhanga,215,Ragi,Kharif,15th June – 15th Aug,15th Sep– 31st Oct,15.0,6.0,15.0,8.0,15.0,9.0,31.0,10.0,4
171,Bihar,Darbhanga,215,PULSES:,,,,,,,,,,,,4
172,Bihar,Darbhanga,215,Arhar,Kharif,1st June – 31st July,1st Mar – 30th Apr,1.0,6.0,31.0,7.0,1.0,3.0,30.0,4.0,4
173,Bihar,Darbhanga,215,Gram,Rabi,15th Nov - 31st Dec,1st – 15th Apr,15.0,11.0,31.0,12.0,1.0,4.0,15.0,4.0,4
174,Bihar,Darbhanga,215,Lentil,Rabi,15th Oct – 15th Nov,15th Mar -15th Apr,15.0,10.0,15.0,11.0,15.0,3.0,15.0,4.0,4
175,Bihar,Darbhanga,215,Peas,Rabi,15th Oct – 30th Nov,15th Feb– 15th Mar,15.0,10.0,30.0,11.0,15.0,2.0,15.0,3.0,4
176,Bihar,Darbhanga,215,OILSEEDS,,,,,,,,,,,,4
177,Bihar,Darbhanga,215,TIL/,Summer,15th Feb -15th Mar,15th May - 30th June,15.0,2.0,15.0,3.0,15.0,5.0,30.0,6.0,4
178,Bihar,Darbhanga,215,Mustard,Rabi,15th Oct -15th Nov,15th Feb -15th Mar,15.0,10.0,15.0,11.0,15.0,2.0,15.0,3.0,4
