Sl_No,State,District,District_Code,Crop,Season,Sowing_Period,Harvesting_Period,Sow_From_Day,Sow_From_Mon,Sow_To_Day,Sow_To_Mon,Harv_From_Day,Harv_From_Mon,Harv_To_Day,Harv_To_Mon,PDF_Page,Selector_Crop_Category
1,Bihar,Arwal,240,Rice,Kharif,15th June - 15th Aug,15th Oct. – 30th Nov,15,6,15,8,15,10,30,11,1,RICE
2,Bihar,Arwal,240,Wheat,Rabi,15th Nov – 15th Dec,15th Mar. – 15th Apr,15,11,15,12,15,3,15,4,1,WHEAT
3,Bihar,Arwal,240,Barley,Rabi,15th Oct - 30th Nov,15th Mar- 15th Apr,15,10,30,11,15,3,15,4,1,BARLEY
4,Bihar,Arwal,240,Maize,Kharif,15th May – 15th June,1st -31st Sept,15,5,15,6,1,9,31,9,1,MAIZE
5,Bihar,Arwal,240,Maize,Rabi,15th Oct. – 15th Nov,1st – 30th Apr,15,10,15,11,1,4,30,4,1,MAIZE
6,Bihar,Arwal,240,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15,2,30,4,15,5,31,5,1,MAIZE
7,Bihar,Arwal,240,Ragi,Kharif,15th May – 30th June,1st - 31st Oct,15,5,30,6,1,10,31,10,1,FINGERMILLET
8,Bihar,Arwal,240,Arhar,Kharif,15th June – 31st July,15th Mar – 15th Apr,15,6,31,7,15,3,15,4,1,PIGEONPEA
9,Bihar,Arwal,240,Urad,Kharif,15th - 31st July,1st – 15th Oct,15,7,31,7,1,10,15,10,1,MINORPULSES
10,Bihar,Arwal,240,Gram,Rabi,15th Oct -30th Nov (Normal),15th Mar. – 15th Apr,15,10,30,11,15,3,15,4,1,CHICKPEA
11,Bihar,Arwal,240,Gram,,1-15 Dec (Late),,1,12,15,12,0,0,0,0,1,CHICKPEA
12,Bihar,Arwal,240,Lentil,Rabi,15th Oct. – 30th Nov,15th – 31st Mar,15,10,30,11,15,3,31,3,1,MINORPULSES
14,Bihar,Arwal,240,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15,3,15,4,15,5,31,5,1,MINORPULSES
16,Bihar,Arwal,240,Til,Kharif,15th June - 15th July,15th – 30th Sep,15,6,15,7,15,9,30,9,1,SESAMUM
17,Bihar,Arwal,240,Til,Summer,15th Feb -15th Mar,15th -31st May,15,2,15,3,15,5,31,5,1,SESAMUM
18,Bihar,Arwal,240,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15,10,31,10,15,2,15,3,1,RAPESEEDANDMUSTARD
19,Bihar,Arwal,240,Linseed,Rabi,15th Oct - 30th Nov,15th - 31st Mar,15,10,30,11,15,3,31,3,1,LINSEED
20,Bihar,Aurangabad,235,Rice,Kharif,15th June - 15th Aug,15th Oct – 30th Nov,15,6,15,8,15,10,30,11,1,RICE
21,Bihar,Aurangabad,235,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15,11,15,12,15,3,15,4,1,WHEAT
22,Bihar,Aurangabad,235,Barley,Rabi,31st Oct - 30th Nov,15th Mar - 15th Apr,31,10,30,11,15,3,15,4,1,BARLEY
23,Bihar,Aurangabad,235,Maize,Kharif,15th May – 15th June,1st - 31st Sept,15,5,15,6,1,9,31,9,1,MAIZE
24,Bihar,Aurangabad,235,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15,10,15,11,1,4,30,4,1,MAIZE
25,Bihar,Aurangabad,235,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15,2,30,4,15,5,31,5,1,MAIZE
26,Bihar,Aurangabad,235,Arhar,Kharif,15th June – 31st July,15th Mar – 15th Apr,15,6,31,7,15,3,15,4,1,PIGEONPEA
27,Bihar,Aurangabad,235,Urad,Kharif,15th - 31st July,1st – 15th Oct,15,7,31,7,1,10,15,10,1,MINORPULSES
28,Bihar,Aurangabad,235,Gram,Rabi,15th Oct - 30th Nov (Normal),15th Mar – 15th Apr,15,10,30,11,15,3,15,4,1,CHICKPEA
29,Bihar,Aurangabad,235,Gram,,1st -15th Dec (Late),,1,12,15,12,0,0,0,0,1,CHICKPEA
30,Bihar,Aurangabad,235,Lentil,Rabi,31st Oct – 30th Nov,15th – 31st Mar,31,10,30,11,15,3,31,3,1,MINORPULSES
32,Bihar,Aurangabad,235,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15,3,15,4,15,5,31,5,1,MINORPULSES
34,Bihar,Aurangabad,235,Til,Kharif,15th June - 15th July,15th – 30th Sep,15,6,15,7,15,9,30,9,1,SESAMUM
35,Bihar,Aurangabad,235,Til,Summer,15th Feb.-15th Mar,15th -31st May,15,2,15,3,15,5,31,5,1,SESAMUM
36,Bihar,Aurangabad,235,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15,10,31,10,15,2,15,3,1,RAPESEEDANDMUSTARD
37,Bihar,Aurangabad,235,Linseed,Rabi,15th Oct.- 30th Nov,15th - 31st Mar,15,10,30,11,15,3,31,3,1,LINSEED
38,Bihar,Araria,209,Rice,Kharif,1st June - 15th Aug,15th Oct – 30th Nov,1,6,15,8,15,10,30,11,1,RICE
39,Bihar,Araria,209,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15,11,15,12,15,3,15,4,1,WHEAT
40,Bihar,Araria,209,Barley,Rabi,15th Oct - 30th Nov,15th Mar - 15th Apr,15,10,30,11,15,3,15,4,1,BARLEY
41,Bihar,Araria,209,Maize,Kharif,1st May – 15th June,1st -31st Sept,1,5,15,6,1,9,31,9,1,MAIZE
42,Bihar,Araria,209,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15,10,15,11,1,4,30,4,1,MAIZE
43,Bihar,Araria,209,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15,2,30,4,15,5,31,5,1,MAIZE
44,Bihar,Araria,209,Arhar,Kharif,15th June – 31st July,15th Mar – 15th Apr,15,6,31,7,15,3,15,4,1,PIGEONPEA
45,Bihar,Araria,209,Urad,Kharif,1st - 31st July,1st – 15th Oct,1,7,31,7,1,10,15,10,1,MINORPULSES
46,Bihar,Araria,209,Gram,Rabi,15th Oct.-30th Nov (Normal),15th Mar. – 15th Apr,15,10,30,11,15,3,15,4,1,CHICKPEA
47,Bihar,Araria,209,Gram,,1-15 Dec (Late),,1,12,15,12,0,0,0,0,2,CHICKPEA
48,Bihar,Araria,209,Lentil,Rabi,15th Oct – 30th Nov,15th – 31st Mar,15,10,30,11,15,3,31,3,2,MINORPULSES
52,Bihar,Araria,209,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15,3,15,4,15,5,31,5,2,MINORPULSES
55,Bihar,Araria,209,Til,Kharif,15th June - 15th July,15th – 30th Sep,15,6,15,7,15,9,30,9,2,SESAMUM
56,Bihar,Araria,209,Til,Summer,15th Feb -15th Mar,15th -31st May,15,2,15,3,15,5,31,5,2,SESAMUM
57,Bihar,Araria,209,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15,10,31,10,15,2,15,3,2,RAPESEEDANDMUSTARD
58,Bihar,Araria,209,Linseed,Rabi,15th Oct - 30th Nov,15th - 31st Mar,15,10,30,11,15,3,31,3,2,LINSEED
59,Bihar,Bhagalpur,224,Rice,Kharif,15th June - 15th Aug,15th Oct – 30th Nov,15,6,15,8,15,10,30,11,2,RICE
60,Bihar,Bhagalpur,224,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15,11,15,12,15,3,15,4,2,WHEAT
61,Bihar,Bhagalpur,224,Barley,Rabi,15th Oct - 30th Nov,15th Mar - 15th Apr,15,10,30,11,15,3,15,4,2,BARLEY
62,Bihar,Bhagalpur,224,Maize,Kharif,15th May – 15th June,1st -31st Sep,15,5,15,6,1,9,31,9,2,MAIZE
63,Bihar,Bhagalpur,224,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15,10,15,11,1,4,30,4,2,MAIZE
64,Bihar,Bhagalpur,224,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15,2,30,4,15,5,31,5,2,MAIZE
65,Bihar,Bhagalpur,224,Arhar,Kharif,1st - 31st July,1st – 30th Apr,1,7,31,7,1,4,30,4,2,PIGEONPEA
66,Bihar,Bhagalpur,224,Urad,Kharif,15th - 31st July,1st – 15th Oct,15,7,31,7,1,10,15,10,2,MINORPULSES
68,Bihar,Bhagalpur,224,Gram,Rabi,15th Oct.-30th Nov (Normal),15th Mar – 15th Apr,15,10,30,11,15,3,15,4,2,CHICKPEA
69,Bihar,Bhagalpur,224,Gram,,1-15 Dec (Late),,1,12,15,12,0,0,0,0,2,CHICKPEA
70,Bihar,Bhagalpur,224,Lentil,Rabi,15th Oct – 30th Nov,15th – 31st Mar,15,10,30,11,15,3,31,3,2,MINORPULSES
72,Bihar,Bhagalpur,224,Moong,Summer,15 Mar - 15 Apr,15th – 31st May,15,3,15,4,15,5,31,5,2,MINORPULSES
74,Bihar,Bhagalpur,224,Til,Kharif,15th June - 15th July,15th – 30th Sep,15,6,15,7,15,9,30,9,2,SESAMUM
75,Bihar,Bhagalpur,224,Til,Summer,15th Feb -15th Mar,15th - 31st May,15,2,15,3,15,5,31,5,2,SESAMUM
76,Bihar,Bhagalpur,224,Mustard,Rabi,15th -31st Oct,15th Feb- 15th Mar,15,10,31,10,15,2,15,3,2,RAPESEEDANDMUSTARD
77,Bihar,Bhagalpur,224,Linseed,Rabi,15th Oct - 30th Nov,15th - 31st March,15,10,30,11,15,3,31,3,2,LINSEED
78,Bihar,Bhagalpur,224,Sunflower,Rabi,15th Oct – 15th Nov,15th – 28th Feb,15,10,15,11,15,2,28,2,2,SUNFLOWER
79,Bihar,Bhagalpur,224,Sugarcane,Autumn,15th Oct – 30th Nov.,15th Oct – 31st Mar,15,10,30,11,15,10,31,3,2,SUGARCANE
80,Bihar,Bhagalpur,224,Sugarcane,Spring,15th Feb – 15th Mar,,15,2,15,3,0,0,0,0,2,SUGARCANE
81,Bihar,Banka,225,Rice,Kharif,1st June - 31st July,15th Oct. – 30th Nov,1,6,31,7,15,10,30,11,2,RICE
82,Bihar,Banka,225,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15,11,15,12,15,3,15,4,2,WHEAT
83,Bihar,Banka,225,Barley,Rabi,31st Oct - 30th Nov,15th Mar- 15th Apr,31,10,30,11,15,3,15,4,2,BARLEY
84,Bihar,Banka,225,Maize,Kharif,15th May – 15th June,1st -31st Sept,15,5,15,6,1,9,31,9,2,MAIZE
85,Bihar,Banka,225,Maize,Rabi,15th Oct. – 15th Nov,1st – 30th April,15,10,15,11,1,4,30,4,2,MAIZE
86,Bihar,Banka,225,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15,2,30,4,15,5,31,5,2,MAIZE
87,Bihar,Banka,225,Arhar,Kharif,1– 31st July,1st -30th May,1,7,31,7,1,5,30,5,2,PIGEONPEA
88,Bihar,Banka,225,Urad,Kharif,15th - 31st July,1st – 15th Oct,15,7,31,7,1,10,15,10,2,MINORPULSES
90,Bihar,Banka,225,Gram,Rabi,15th Oct.-30th Nov (Normal),15th Mar – 15th Apr,15,10,30,11,15,3,15,4,2,CHICKPEA
91,Bihar,Banka,225,Gram,,1-15 Dec (Late),,1,12,15,12,0,0,0,0,2,CHICKPEA
92,Bihar,Banka,225,Lentil,Rabi,30th Oct – 30th Nov,15th – 31st Mar,30,10,30,11,15,3,31,3,2,MINORPULSES
94,Bihar,Banka,225,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15,3,15,4,15,5,31,5,3,MINORPULSES
96,Bihar,Banka,225,Til,Kharif,15th June - 15th July,15th – 30th Sep,15,6,15,7,15,9,30,9,3,SESAMUM
97,Bihar,Banka,225,Til,Summer,15th Feb -15th Mar,15th -31st May,15,2,15,3,15,5,31,5,3,SESAMUM
98,Bihar,Banka,225,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15,10,31,10,15,2,15,3,3,RAPESEEDANDMUSTARD
99,Bihar,Banka,225,Linseed,Rabi,15th Oct - 30th Nov,15th - 31st Mar,15,10,30,11,15,3,31,3,3,LINSEED
100,Bihar,Banka,225,Sunflower,Rabi,15th Oct – 15th Nov,15th – 28th Feb,15,10,15,11,15,2,28,2,3,SUNFLOWER
101,Bihar,Banka,225,Sugarcane,Autumn,15th Oct – 30th Nov,15th Oct – 31st Mar,15,10,30,11,15,10,31,3,3,SUGARCANE
102,Bihar,Banka,225,Sugarcane,Spring,15th Feb – 15th Mar,,15,2,15,3,0,0,0,0,3,SUGARCANE
103,Bihar,Bhojpur,231,Rice,Kharif,1st June - 31st July,15th Oct – 15th Dec,1,6,31,7,15,10,15,12,3,RICE
104,Bihar,Bhojpur,231,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15,11,15,12,15,3,15,4,3,WHEAT
105,Bihar,Bhojpur,231,Barley,Rabi,15th Oct - 30th Nov,15th Mar- 15th Apr,15,10,30,11,15,3,15,4,3,BARLEY
106,Bihar,Bhojpur,231,Maize,Kharif,15th May – 15th June,1st - 31st Sep,15,5,15,6,1,9,31,9,3,MAIZE
107,Bihar,Bhojpur,231,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15,10,15,11,1,4,30,4,3,MAIZE
108,Bihar,Bhojpur,231,Maize,Summer,15th Feb– 30th Apr,15th - 31st May,15,2,30,4,15,5,31,5,3,MAIZE
109,Bihar,Bhojpur,231,Arhar,Kharif,30th June – 31st July,1st -30th Apr,30,6,31,7,1,4,30,4,3,PIGEONPEA
110,Bihar,Bhojpur,231,Urad,Kharif,1st - 31st July,1st – 15th Oct,1,7,31,7,1,10,15,10,3,MINORPULSES
111,Bihar,Bhojpur,231,Gram,Rabi,15th Oct -30th Nov (Normal),15th Mar - 15th Apr,15,10,30,11,15,3,15,4,3,CHICKPEA
112,Bihar,Bhojpur,231,Gram,,1-15 Dec (Late),,1,12,15,12,0,0,0,0,3,CHICKPEA
113,Bihar,Bhojpur,231,Lentil,Rabi,15th Oct – 30th Nov,15th – 31st Mar,15,10,30,11,15,3,31,3,3,MINORPULSES
115,Bihar,Bhojpur,231,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15,3,15,4,15,5,31,5,3,MINORPULSES
117,Bihar,Bhojpur,231,Til,Kharif,1st June - 15th July,15th – 30th Sep,1,6,15,7,15,9,30,9,3,SESAMUM
118,Bihar,Bhojpur,231,Til,Summer,15th Feb - 15th Mar,15th -31st May,15,2,15,3,15,5,31,5,3,SESAMUM
119,Bihar,Bhojpur,231,Mustard,Rabi,15th - 31st Oct,15th Feb.- 15th Mar,15,10,31,10,15,2,15,3,3,RAPESEEDANDMUSTARD
120,Bihar,Bhojpur,231,Linseed,Rabi,15th Oct - 30th Nov,15th - 31st March,15,10,30,11,15,3,31,3,3,LINSEED
121,Bihar,Bhojpur,231,Sugarcane,Autumn,15th Oct – 30th Nov,15th Oct – 31st Mar,15,10,30,11,15,10,31,3,3,SUGARCANE
122,Bihar,Bhojpur,231,Sugarcane,Spring,15th Feb – 15th Mar,,15,2,15,3,0,0,0,0,3,SUGARCANE
123,Bihar,Buxar,232,Rice,Kharif,1st June - 31st July,15th Oct. – 15th Dec,1,6,31,7,15,10,15,12,3,RICE
124,Bihar,Buxar,232,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15,11,15,12,15,3,15,4,3,WHEAT
125,Bihar,Buxar,232,Barley,Rabi,15th Oct - 30th Nov,15th Mar- 15th Apr,15,10,30,11,15,3,15,4,3,BARLEY
126,Bihar,Buxar,232,Maize,Kharif,15th May – 15th June,1st -31st Sep,15,5,15,6,1,9,31,9,3,MAIZE
127,Bihar,Buxar,232,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15,10,15,11,1,4,30,4,3,MAIZE
128,Bihar,Buxar,232,Maize,Summer,15th Feb– 30th Apr,15th - 31st May,15,2,30,4,15,5,31,5,3,MAIZE
130,Bihar,Buxar,232,Arhar,Kharif,15th June – 31st July,1st – 30th Apr,15,6,31,7,1,4,30,4,3,PIGEONPEA
131,Bihar,Buxar,232,Urad,Kharif,15th - 31st July,1st – 15th Oct,15,7,31,7,1,10,15,10,3,MINORPULSES
133,Bihar,Buxar,232,Gram,Rabi:,15th Oct.-30th Nov (Normal),15th Mar – 15th Apr,15,10,30,11,15,3,15,4,3,CHICKPEA
134,Bihar,Buxar,232,Gram,,1-15 Dec (Late),,1,12,15,12,0,0,0,0,3,CHICKPEA
135,Bihar,Buxar,232,Lentil,Rabi,15th Oct. – 30th Nov,15th – 31st Mar,15,10,30,11,15,3,31,3,3,MINORPULSES
137,Bihar,Buxar,232,Moong,Summer,15th Mar - 15th April,15th – 31st May,15,3,15,4,15,5,31,5,3,MINORPULSES
139,Bihar,Buxar,232,Til,Kharif,15th June - 15th July,15th – 30th Sep,15,6,15,7,15,9,30,9,4,SESAMUM
140,Bihar,Buxar,232,Til,Summer,15th Feb.-15th Mar.,15th -31st May,15,2,15,3,15,5,31,5,4,SESAMUM
141,Bihar,Buxar,232,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15,10,31,10,15,2,15,3,4,RAPESEEDANDMUSTARD
142,Bihar,Buxar,232,Linseed,Rabi,15th Oct- 30th Nov,15th - 31st March,15,10,30,11,15,3,31,3,4,LINSEED
143,Bihar,Buxar,232,Sunflower,Rabi,15th Oct– 15th Nov,15th – 28th Feb,15,10,15,11,15,2,28,2,4,SUNFLOWER
144,Bihar,Buxar,232,Sugarcane,Autumn,15th Oct – 30th Nov,15th Oct– 31st Mar,15,10,30,11,15,10,31,3,4,SUGARCANE
145,Bihar,Buxar,232,Sugarcane,Spring,15th Feb – 15th Mar,,15,2,15,3,0,0,0,0,4,SUGARCANE
146,Bihar,Begusarai,222,Rice,Kharif,15th May - 31st July,15th Oct. – 30th Nov,15,5,31,7,15,10,30,11,4,RICE
147,Bihar,Begusarai,222,Wheat,Rabi,15th Nov – 31st Dec.,15th Mar – 30th Apr,15,11,31,12,15,3,30,4,4,WHEAT
148,Bihar,Begusarai,222,Maize,Kharif,15th May - 15th June,15th Aug -15th Sep,15,5,15,6,15,8,15,9,4,MAIZE
149,Bihar,Begusarai,222,Maize,Rabi,1st – 30th Nov,15th Mar – 15th Apr,1,11,30,11,15,3,15,4,4,MAIZE
150,Bihar,Begusarai,222,Maize,Summer,1st Feb – 31st Mar,1stJune – 31st July,1,2,31,3,1,6,31,7,4,MAIZE
151,Bihar,Begusarai,222,Ragi,Kharif,15th Apr – 15 May,15th Aug – 15th Sep,15,4,15,5,15,8,15,9,4,FINGERMILLET
152,Bihar,Begusarai,222,Arhar,Kharif,15th July – 15th Sep,1st Apr – 30th Apr,15,7,15,9,1,4,30,4,4,PIGEONPEA
153,Bihar,Begusarai,222,Urad,Kharif,1st July – 15th Aug,1st – 30th Oct,1,7,15,8,1,10,30,10,4,MINORPULSES
154,Bihar,Begusarai,222,Urad,Summer,15thMar - 15April,15th June – 15th July,15,3,15,4,15,6,15,7,4,MINORPULSES
156,Bihar,Begusarai,222,Gram,Rabi,15th Oct -30th Nov,15th Mar – 15th Apr,15,10,30,11,15,3,15,4,4,CHICKPEA
157,Bihar,Begusarai,222,Lentil,Rabi,15th Oct. – 15th Nov,15th – 31st Mar,15,10,15,11,15,3,31,3,4,MINORPULSES
159,Bihar,Begusarai,222,Moong,Summer,15 Mar - 15 Apr,15th – 31st May,15,3,15,4,15,5,31,5,4,MINORPULSES
160,Bihar,Begusarai,222,TIL,Summer,15th Feb-15th Mar.,15th -31st May,15,2,15,3,15,5,31,5,4,SESAMUM
161,Bihar,Begusarai,222,Mustard,Rabi,15th -31st Oct.,15th Feb- 15th Mar,15,10,31,10,15,2,15,3,4,RAPESEEDANDMUSTARD
162,Bihar,Begusarai,222,Linseed,Rabi,15th Oct.- 30th Nov,15th - 31st Mar,15,10,30,11,15,3,31,3,4,LINSEED
163,Bihar,Begusarai,222,Sugarcane,Autumn,15th Oct. – 30th Nov,15th Oct – 31st Mar,15,10,30,11,15,10,31,3,4,SUGARCANE
164,Bihar,Begusarai,222,Sugarcane,Spring,15th Feb – 15th Mar,,15,2,15,3,0,0,0,0,4,SUGARCANE
165,Bihar,Darbhanga,215,Rice,Kharif,15th May - 31st July,15th Sep – 30th Nov,15,5,31,7,15,9,30,11,4,RICE
166,Bihar,Darbhanga,215,Wheat,Rabi,1st Nov- 1st Dec,1st Mar -1st Apr,1,11,1,12,1,3,1,4,4,WHEAT
167,Bihar,Darbhanga,215,Maize,Kharif,15th June - 15th July,15th Sep -15th Oct,15,6,15,7,15,9,15,10,4,MAIZE
168,Bihar,Darbhanga,215,Maize,Rabi,15th Oct – 30th Nov,15th Mar – 15th Apr,15,10,30,11,15,3,15,4,4,MAIZE
169,Bihar,Darbhanga,215,Maize,Summer,1st Feb – 31st Mar,1stJune – 31st July,1,2,31,3,1,6,31,7,4,MAIZE
170,Bihar,Darbhanga,215,Ragi,Kharif,15th June – 15th Aug,15th Sep– 31st Oct,15,6,15,8,15,9,31,10,4,FINGERMILLET
172,Bihar,Darbhanga,215,Arhar,Kharif,1st June – 31st July,1st Mar – 30th Apr,1,6,31,7,1,3,30,4,4,PIGEONPEA
173,Bihar,Darbhanga,215,Gram,Rabi,15th Nov - 31st Dec,1st – 15th Apr,15,11,31,12,1,4,15,4,4,CHICKPEA
174,Bihar,Darbhanga,215,Lentil,Rabi,15th Oct – 15th Nov,15th Mar -15th Apr,15,10,15,11,15,3,15,4,4,MINORPULSES
178,Bihar,Darbhanga,215,Mustard,Rabi,15th Oct -15th Nov,15th Feb -15th Mar,15,10,15,11,15,2,15,3,4,RAPESEEDANDMUSTARD
179,Bihar,Darbhanga,215,Linseed,Rabi,15th Oct - 15th Nov,15th Mar - 15th Apr,15,10,15,11,15,3,15,4,4,LINSEED
180,Bihar,East Champaran,204,Rice,Kharif,15th May - 31st July,15th Sep – 30th Nov,15,5,31,7,15,9,30,11,4,RICE
181,Bihar,East Champaran,204,Wheat,Rabi,1st Nov - 1st Dec,1st Mar -1st Apr,1,11,1,12,1,3,1,4,4,WHEAT
182,Bihar,East Champaran,204,Maize,Kharif,1st May- 1st June,15th Aug -30th Sept,1,5,1,6,15,8,30,9,4,MAIZE
183,Bihar,East Champaran,204,Maize,Rabi,1st Oct- 1st Nov,1st - 31st Mar,1,10,1,11,1,3,31,3,4,MAIZE
184,Bihar,East Champaran,204,Maize,Summer,1st Feb -1stApr,1st – 15th May,1,2,1,4,1,5,15,5,4,MAIZE
185,Bihar,East Champaran,204,Arhar,Kharif,1st – 30th June,1st - 30th Mar,1,6,30,6,1,3,30,3,5,PIGEONPEA
186,Bihar,East Champaran,204,Urad,Kharif,1st – 15th July,15th - 30th Sep,1,7,15,7,15,9,30,9,5,MINORPULSES
187,Bihar,East Champaran,204,Lentil,Rabi,1st Oct - 15th Nov,1st – 15th Mar,1,10,15,11,1,3,15,3,5,MINORPULSES
189,Bihar,East Champaran,204,Moong,Summer,1st Mar – 1st Apr,1st - 15th May,1,3,1,4,1,5,15,5,5,MINORPULSES
191,Bihar,East Champaran,204,Mustard,Rabi,1st Oct.-1st Nov,1st Feb - 1st Mar,1,10,1,11,1,2,1,3,5,RAPESEEDANDMUSTARD
192,Bihar,East Champaran,204,Linseed,Rabi,1st Oct -15th Nov,1st - 15th Mar,1,10,15,11,1,3,15,3,5,LINSEED
193,Bihar,East Champaran,204,Sugarcane,Autumn,1st Oct. -15th Nov,1st Oct – 15th Mar,1,10,15,11,1,10,15,3,5,SUGARCANE
194,Bihar,East Champaran,204,Sugarcane,Spring,1st Feb -1st Mar,,1,2,1,3,0,0,0,0,5,SUGARCANE
195,Bihar,Gaya,236,Rice,Kharif,1st June - 30th July,15th Oct – 15th Dec,1,6,30,7,15,10,15,12,5,RICE
196,Bihar,Gaya,236,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15,11,15,12,15,3,15,4,5,WHEAT
197,Bihar,Gaya,236,Barley,Rabi,15th Oct - 30th Nov,15th Mar- 15th Apr,15,10,30,11,15,3,15,4,5,BARLEY
198,Bihar,Gaya,236,Maize,Kharif,15th May – 15th June,1st -31st Sep,15,5,15,6,1,9,31,9,5,MAIZE
199,Bihar,Gaya,236,Maize,Rabi:,15th Oct – 15th Nov,1st – 30th Apr,15,10,15,11,1,4,30,4,5,MAIZE
200,Bihar,Gaya,236,Maize,Summer,15th Feb– 30th Apr,15th - 31st May,15,2,30,4,15,5,31,5,5,MAIZE
201,Bihar,Gaya,236,Arhar,Kharif,15th June – 31st July,1st – 30th Apr,15,6,31,7,1,4,30,4,5,PIGEONPEA
202,Bihar,Gaya,236,Urad,Kharif,15th - 31st July,1st – 15th Oct,15,7,31,7,1,10,15,10,5,MINORPULSES
204,Bihar,Gaya,236,Gram,Rabi,15th Oct.-30th Nov (Normal),15th Mar – 15th Apr,15,10,30,11,15,3,15,4,5,CHICKPEA
205,Bihar,Gaya,236,Gram,,1-15 Dec (Late),,1,12,15,12,0,0,0,0,5,CHICKPEA
206,Bihar,Gaya,236,Lentil,Rabi,15th Oct – 30th Nov,15th – 31st Mar,15,10,30,11,15,3,31,3,5,MINORPULSES
208,Bihar,Gaya,236,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15,3,15,4,15,5,31,5,5,MINORPULSES
210,Bihar,Gaya,236,Ground nut,Kharif,15th June – 15th July,15th Sept – 15th Oct,15,6,15,7,15,9,15,10,5,GROUNDNUT
211,Bihar,Gaya,236,Til,Kharif,15th June - 15th July,15th – 30th Sep,15,6,15,7,15,9,30,9,5,SESAMUM
212,Bihar,Gaya,236,Til,Summer,15th Feb -15th Mar,15th -31st May,15,2,15,3,15,5,31,5,5,SESAMUM
213,Bihar,Gaya,236,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15,10,31,10,15,2,15,3,5,RAPESEEDANDMUSTARD
214,Bihar,Gaya,236,Linseed,Rabi,15th Oct.- 30th Nov,15th - 31st Mar,15,10,30,11,15,3,31,3,5,LINSEED
215,Bihar,Gaya,236,Sunflower,Rabi,15th Oct. – 15th Nov,15th – 28th Feb,15,10,15,11,15,2,28,2,5,SUNFLOWER
216,Bihar,Gaya,236,Sugarcane,Autumn,15th Oct. – 30th Nov,15th Oct. – 31st Mar,15,10,30,11,15,10,31,3,5,SUGARCANE
217,Bihar,Gaya,236,Sugarcane,Spring,15th Feb – 15th Mar,,15,2,15,3,0,0,0,0,5,SUGARCANE
218,Bihar,Gopalganj,217,Rice,Kharif,15th May - 31st July,15th Sep – 30th Nov,15,5,31,7,15,9,30,11,5,RICE
219,Bihar,Gopalganj,217,Wheat,Rabi,1st Nov - 1st Dec,1st Mar -1st Apr,1,11,1,12,1,3,1,4,5,WHEAT
220,Bihar,Gopalganj,217,Maize,Kharif,1st May- 1st June,15th Aug -30th Sept,1,5,1,6,15,8,30,9,5,MAIZE
221,Bihar,Gopalganj,217,Maize,Rabi,1st Oct- 15th Nov,31st Jan -15th March,1,10,15,11,31,1,15,3,5,MAIZE
222,Bihar,Gopalganj,217,Maize,Summer,1st Feb. -15th April,1st May -10th June,1,2,15,4,1,5,10,6,5,MAIZE
223,Bihar,Gopalganj,217,Arhar,Kharif,15th June- 15th July,1st Mar -15th Apr,15,6,15,7,1,3,15,4,5,PIGEONPEA
224,Bihar,Gopalganj,217,Urad,Kharif,30th June - 5th Aug,1st Oct -31st Oct,30,6,5,8,1,10,31,10,5,MINORPULSES
225,Bihar,Gopalganj,217,Lentil,Rabi,1st Oct.- 15th Nov.,5th Mar -1st Apr,1,10,15,11,5,3,1,4,5,MINORPULSES
227,Bihar,Gopalganj,217,Moong,Summer,5th Mar – 15th Apr,15th June – 30th June,5,3,15,4,15,6,30,6,5,MINORPULSES
